asin,salesRank,imUrl,categories,title,description,price,related,brand
0000401048,{'Books': 6448843},http://ecx.images-amazon.com/images/I/41bchvIfgaL.jpg,[['Books']],The rogue of publishers' row;: Confessions of a publisher (A Banner Book),,,{'also_viewed': ['068240103X']},
0001019880,{'Books': 9589258},http://ecx.images-amazon.com/images/I/61LcHUdvS1L.jpg,[['Books']],Classic Soul Winner's New Testament Bible,,5.39,"{'also_viewed': ['B003HMB5FC', '0834004593'], 'buy_after_viewing': ['031095360X', '0834004577']}",
0001048813,,http://ecx.images-amazon.com/images/I/41k5u0lr6NL.jpg,[['Books']],Archer Christmas 4 Tape Pack,,,,
0001148427,{'Books': 5806769},http://ecx.images-amazon.com/images/I/41tN4KuOXkL.jpg,[['Books']],Sonatas - For Piano,,,,
0001057170,{'Books': 9318563},http://ecx.images-amazon.com/images/I/51M65KR89XL.jpg,[['Books']],Classic Connolly Boxed Set (Vol 1 &amp; 2),"[Editor's Note: The following is a combined review with CLASSIC CONNOLLY IN WORDS AND MUSIC.]--Those of you who enjoyed Billy Connolly's moving performance in the film MRS. BROWN may not know (or believe) that he began his professional life as a Glasgow folky and gained first fame as a stand-up comic. Now's your chance to catch up on his sordid past with these compilations from his club recordings of the '70s and '80s. He loves the shaggy dog story and the wicked song but doesn't mind flinging one-liners either. His raucous, scatological, profane humor is best enjoyed by heavy drinkers familiar with the Scottish tongue. The rest of us will get plenty of yuks from those punch lines we can decipher.  Y.R. &copy; AudioFile 2001, Portland, Maine--Copyright &#169; AudioFile, Portland, Maine",,,
0001047566,{'Books': 3628249},http://ecx.images-amazon.com/images/I/51FWARNTHCL.jpg,[['Books']],Hand in Glove,,,,
0001053396,{'Books': 12249714},http://ecx.images-amazon.com/images/I/51WTKK4V2DL.jpg,[['Books']],War Poems: An Anthology of Poetry from the 18th Cantury to the Present Day,"Writing poetry has always been a way to express what is going on in the world around us. Unfortunately, sometimes what is around us is war. Acclaimed British actor Paul McGann reads poems that date from the eighteenth century to modern times in this moving audio anthology. McGann is originally from Liverpool, and he still retains a slight Northern accent. Its lilting cadence blends well with the rhythm and worldliness of these powerful poems. Although some of the pieces are well known, others are less so, and this makes the collection even more intriguing for lovers of literature.  R.A.P. &copy; AudioFile 2001, Portland, Maine--Copyright &#169; AudioFile, Portland, Maine",17.99,,
0000913154,{'Books': 455782},http://ecx.images-amazon.com/images/I/7113akhDnTL.jpg,[['Books']],The Way Things Work: An Illustrated Encyclopedia of Technology,,23.26,"{'also_bought': ['0590429892', '1114119512', 'B000HW2YQE', '0395938473', '0395428572', '0449208133', '0486217094', '0618233784', '0486443604', '1856698769', '0942364155', '0936070129', '0671224549'], 'buy_after_viewing': ['0395938473', 'B000GP0CT8', '0590429892', '1114119512']}",
0000032050,,http://ecx.images-amazon.com/images/I/41TxNYG8cwL._SX342_.jpg,"[['Sports & Outdoors', 'Other Sports', 'Dance', 'Clothing', 'Girls', 'Skirts']]",Adult Ballet Tutu Purple,,12.85,"{'also_bought': ['B00D2JSRFQ', 'B00D2JTMS2', '0000032042', '0000032034', 'B00D0FDUAY', 'B00D2JRWWA', 'B00D0FIIJM', 'B00D0DJAEG', 'B00D0F450I', 'B00FNNFXAG', '0000032069', 'B00JHNSNSM', 'B00D0FCQQI', 'B009QVVPM6', 'B00H3RYN3I', 'B004PYEE8G', 'B00EON0SJ2', 'B0079MCIMU', 'B00D0D5F6S', 'B005HMHOQ4', 'B0046W9T8C', 'B001GTKPDQ', 'B002RHLXKU', 'B002BZX8Z6', 'B00E1YRI4C', 'B009QVW5FM', 'B005C4Y4F6', 'B002C3Y6WG', 'B001YHX45G', 'B00DPM8UWA', 'B009V5DTDA', 'B00EOOR812', 'B00G9QRLNI', 'B003AVKOP2', 'B00JMBEZZY', 'B007F2H4PU', 'B004YV8M88', 'B003IRFOU8', 'B008S9PLZ4', 'B009QVQZ3K', 'B009MFI4FC', 'B00K189G60', 'B00BNRKT6E', 'B00AHJCTF8', 'B00IOHJ7HS', 'B009K8XS0M', 'B00DPYOB2Q', 'B009QVCTTY', 'B002YS7AUO', 'B002SWWY3E', 'B005JJDKPO', 'B00JHONN1S', 'B00LIPP4VG', 'B002S3QECA', 'B007JYBGCQ', 'B002YSETF8', 'B0034E81U0', 'B009QVOMSK', 'B003AVNY6I', 'B007M8RZG0', 'B007IEFT84', 'B003IEDM9Q', 'B004SVOIHS', 'B002C3R5XI', 'B003ZWDIFE', 'B009FGMZ08', 'B004TK0A4S', 'B009K90F3O', 'B00BOXAJVW', 'B00GJ0XOKS', 'B001VDR42M', '1416970797', 'B0033II4NG', 'B00BITBIB2', 'B009QVWIQ8', 'B000J09OV2', 'B003O86MB6', 'B00430ALB6', 'B003ILA0L2', 'B00KF54D6W', 'B00CQGUSYY', 'B005RTJ438', 'B0071KR2LC', 'B002XZMGGQ', 'B0092BWWG8', 'B000VLS7BM', 'B009MDB6FE'], 'also_viewed': ['B00D2JTMS2', 'B00D2JSRFQ', 'B004PYEE8G', '0000032042', '0000032034', 'B00D0FIIJM', 'B00D0FDUAY', 'B00D2JRWWA', 'B00JHNSNSM', 'B00D0FCQQI', 'B00D0DJAEG', 'B00FNNFXAG', 'B00H3RYN3I', 'B00D0F450I', 'B003AVNY6I', 'B00GOR07RE', 'B00DPM8UWA', 'B0079MCIMU', 'B002C3Y6WG', 'B007IEFT84', 'B008F0SU0Y', 'B00EON0SJ2', 'B005C4Y4F6', 'B00HSOJJ94', '0000032069', 'B00K18LJ6U', 'B00JHONN1S', 'B002BZX8Z6', 'B003AVKOP2', 'B00IIK61WA', 'B0071KR2LC', 'B00I3PV0US', 'B009RXWNSI', 'B00GTEXPOE', 'B00KF54D6W', 'B00CSFEENY', 'B007OGJ2DE', 'B00E1YRI4C', 'B008F0SMUC', 'B00KZN6IVW', 'B005F50FXC', 'B005HMHOQY', 'B00H7NF9TK', 'B00KZN6RVI', 'B007R2RM8W', 'B00JMX4CCS', 'B00IJVASUE', 'B0054TBWKO', 'B00J6NY1FW', 'B003WFSLBA', 'B003WFQ42S', 'B00HETH828', 'B009V5EAB0', 'B00DPPRW2G', 'B0043007YW', 'B007IEFTO8', 'B0083OQ31A', 'B00DFYIXPM', 'B00C0PLENA'], 'bought_together': ['B00D2JTMS2', 'B00D2JSRFQ', '0000032042', '0000032034']}",BubuBibi
0001072986,{'Books': 8296784},http://ecx.images-amazon.com/images/I/51X8Z6CJ10L.jpg,[['Books']],As You Like it: Complete &amp; Unabridged,"William Shakespeare is widely regarded as the greatest playwright the world has seen. He produced an astonishing amount of work; 37 plays, 154 sonnets, and 5 poems. He died on 23rd April 1616, aged 52, and was buried in the Holy Trinity Church, Stratford.",,,
0001053744,{'Books': 5665835},http://ecx.images-amazon.com/images/I/712C-G3XiTL.jpg,[['Books']],Pearl and Sir Orfeo,"While many readers are familiar with SIR GAWAIN AND THE GREEN KNIGHT (and perhaps even Tolkien's translation), these poems from the same fourteenth-century manuscript are less well known. PEARL the longer of the two, is an elegy for the poet's baby daughter, told in alliterative verse. SIR ORFEO is a Celtic version of the Greek myth of Orpheus and Eurydice, complete with a happy ending that the older story lacks. Terry Jones, former member of Monty Python and a medieval scholar to boot, sounds perfectly comfortable with the rhythms and language. One even gets a taste of the original Middle English on the final side, when Jones puts these works into context by reading Tolkien's own introductions.  D.B. &copy; AudioFile 2001, Portland, Maine--Copyright &#169; AudioFile, Portland, Maine",6.05,"{'also_viewed': ['0345277600'], 'buy_after_viewing': ['0312248733', '0345277600', '0140442898']}",
0001055178,{'Books': 14149327},http://ecx.images-amazon.com/images/I/51ZSC6TKS3L.jpg,[['Books']],Master Georgie,"Beryl Bainbridge seems drawn to disaster. First she tackled the  unfortunate Scott expedition to the South Pole inThe Birthday Boys; later (but emphatically pre-DiCaprio) came the sinking of the Titanic, inEvery Man for Himself. Now, in her 3rd historical novel (and her 16th overall), she takes on the Crimean War, and the result is a slim, gripping volume with all of the doomed intensity of the Light Brigade's charge--but, thankfully, without the Tennysonian bombast. ""Some pictures,"" a character confides, ""would only cause alarm to ordinary folk."" There's a warning concealed here, and one that easily disturbed readers would do well to heed:Master Georgieis intense, disturbing, revelatory--and not always pretty to look at.Bainbridge's narrative circles round the enigmatic figure of George Hardy, a surgeon, amateur photographer, alcoholic, and repressed homosexual who counters the dissipation of his prosperous Liverpool life by heading for the Crimean Peninsula in 1854. His journey and subsequent tour of duty are told in three very different voices: Myrtle, an orphan whose lifelong loyalty to her ""Master Georgie"" becomes an overriding obsession; Pompey Jones, street urchin, fire-eater, photographer, and George's sometime lover; and Dr. Potter, George's scholarly brother-in-law, whose retreat from the war's carnage and into books takes on a tinge of madness.United by a sudden death in a Liverpool brothel in 1846, these characters plumb the curious workings of love, war, class, and fate. In between, Bainbridge frames an unforgettable series oftableaux morts: a dying soldier, one lens of his glasses ""fractured into a spider's web""; a decapitated leg, toes ""poking through the shreds of a cavalry boot""; two dead men ""on their knees, facing one another, propped up by the pat-a-cake thrust of their hands."" Glimpsed as if sidewise and then passed over in language that is as understated as it is lovely, these are images that sear into the brain.Master Georgieis full of such moments, horrors painted with an exquisite brush.--Mary Park--This text refers to an out of print or unavailable edition of this title.",16.95,"{'also_viewed': ['0349116156', '0307947726', '0786702079', '0786701463', '0786707739', 'B001IDZK0I', '0226743497', '0786703229', '0802142818', '0375700234', '0679731369', '0812976533', '0385722109', '1609450868', '1416562605', 'B000GH2YRY', '0679777504', '1590170180', 'B001LF2H7W', '0374526400', '0807608815', '1573225436', '1609450566', 'B003H4RCJS', '1586420046', '0143124870', '0571319661', '0385474547', '0140092552', '0316074314'], 'buy_after_viewing': ['0349116156', '1609450868', '0307947726', 'B008SM8T5K']}",
0001064487,{'Books': 1549956},http://ecx.images-amazon.com/images/I/41bI6DhG7SL.jpg,[['Books']],Celebremos Su Gloria,,,"{'also_viewed': ['9589269117', '9589269125', '9589269109', '9589269273', '9588201748'], 'buy_after_viewing': ['9589269117', '9589269125', '9589269109']}",
0001042335,{'Books': 4849400},http://ecx.images-amazon.com/images/I/51ZSAPAXN4L.jpg,[['Books']],Hamlet: Complete &amp; Unabridged,"William Shakespeare is widely regarded as the greatest playwright the world has seen. He produced an astonishing amount of work; 37 plays, 154 sonnets, and 5 poems. He died on 23rd April 1616, aged 52, and was buried in the Holy Trinity Church, Stratford.",,,
0000202010,{'Books': 1455209},http://ecx.images-amazon.com/images/I/516Xv4rbRoL.jpg,[['Books']],The Laurel &amp; Hardy Book (The Curtis Film Series),,,,
0001057138,{'Books': 5457145},http://ecx.images-amazon.com/images/I/41K9BHNH7CL.jpg,[['Books']],Classic Connolly in Words and Music (HarperCollinsComedy),,,,
000136118X,{'Books': 8798712},http://ecx.images-amazon.com/images/I/51HK6S3HJNL.jpg,[['Books']],"One, Two, Guess Who?","One, Two, Guess Who? by Colin and Jacqui Hawkins turns counting to 10 into a game. A pair of numbers is presented in a rhyme with a clue: ""Who found the slipper left behind on the stairs? The Ugly Sisters said it was theirs."" Three choices appear on a flap with the answer underneath, ""It was Prince Charming who came to call,/ carrying the slipper last at the ball."" Children can go from one to 10 all over again on the last pages, which briefly recap the number rhyme and the objects seen.Copyright 2001 Cahners Business Information, Inc.--This text refers to an out of print or unavailable edition of this title.",,,
0000000868,{'Books': 14161827},http://ecx.images-amazon.com/images/I/41K1RtF0J0L.jpg,[['Books']],Foot Rot of Piper nigrum. L. (Phytopathological Paper),,21.85,,
0000695009,{'Movies & TV': 1022732},http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif,"[['Movies & TV', 'Movies']]",Understanding Seizures and Epilepsy DVD,,,,
0001053655,{'Books': 3843450},http://ecx.images-amazon.com/images/I/41C0C3DKRWL.jpg,[['Books']],Who on Earth is Tom Baker?,,,"{'buy_after_viewing': ['0571230547', '1845134885']}",
